id,area,format,behavior,web_evidence,rust_baseline_evidence,rust_snapshot_evidence,extension_evidence,fixture_ids,legacy_result,destination_owner,target_phase,decision,decision_reason,deterministic_test_id,status,notes
DISC-001,discovery,all,Automatic URL-phase first-match in registry order,dezoomers/automatic.js:10-21;index.html:183-200,core/registry.rs default_registry prefers-first,registry.rs unchanged + new SPECs,,web-auto-precedence,first registry hit wins; precedence fixture selects Zoomify,dezoomify-core,04,preserve,Detection order is observable behavior,P04-REGISTRY;scenario web/auto-precedence,inventoried,
DISC-002,discovery,all,Automatic content-phase BFS with visited-set dedup and exact-once fetches,dezoomers/automatic.js:27-59;cycle/repeated-parent specs,discovery.rs has_visited + same-resource-twice rejection,unchanged,,web-auto-cycle;web-auto-repeated-parent,cycle-a/b + child fetched exactly once; rejection message,dezoomify-core,04,preserve,Cycle safety is load-bearing,P04-DISCOVERY;scenario web/auto-cycle,inventoried,
DISC-003,discovery,all,iframe traversal for viewer pages,zoomify+seadragon iframe specs,seadragon embed regex;dzi_file OpenSeadragon JSON,,,web-iframe-zoomify;web-iframe-dzi,parent+child fixtures resolve,dezoomify-core,04,preserve,Viewer embeds are common inputs,P04-DISCOVERY;scenario web/iframe,inventoried,
DISC-004,discovery,all,Query/default-port/private-ID normalization,iiif default-port + private-id specs,uri.rs resolve_relative;iiif default-port rewrite,,,web-iiif-default-port;web-iiif-private-id,local origins preserved; private IDs stay local,dezoomify-core,04,preserve,URL handling must not leak or break,P04-DISCOVERY;scenario web/iiif-url-rules,inventoried,
DISC-005,discovery,all,Malformed metadata yields typed error not panic,iiif-malformed-tile spec;zoomify invalid specs,discovery Session errors;CatalogError;checked arithmetic,unchanged,,web-malformed-iiif,fallback attempted then typed failure,dezoomify-core,04,preserve,Untrusted input must be safe,P04-MALFORMED;scenario web/malformed,inventoried,
DISC-006,discovery,all,Required metadata query params preserved end to end,query-param spec (OBJ/apiKey/entities/rows/sort),tile_metadata preserves ?token;effective_request_headers,,,web-query-params,exact param sets on proxy targets,dezoomify-core,04,preserve,Signed/required params break without this,P04-DISCOVERY;scenario web/query-params,inventoried,
DISC-007,discovery,generic,Generic adaptive probing with bounds and termination,generic probing specs (7 SVGs),core/adaptive.rs dichotomy + limits,unchanged,,web-generic-probing,width/height/tilesize per shape; 1000-tile bound,dezoomify-core,04,preserve,Probing must terminate deterministically,P04-ADAPTIVE;scenario web/generic-probing,inventoried,
DISC-008,discovery,generic,Encoded and padded template variants,generic encoded-template specs,template.rs padded holes;TEMPLATE_RE,,,web-generic-encoded,fillTemplate exact URLs,dezoomify-core,04,preserve,Template forms are user input,P04-ADAPTIVE;scenario web/generic-encoded,inventoried,
DISC-009,discovery,all,Deferred catalog entries resolve explicitly,iiif manifest deferred titles;bulk deferred,model.rs DeferredImage;resolve_deferred_images,,,web-manifest-deferred;native-bulk-deferred,deferred titles preserved,dezoomify-core,04,preserve,Multi-image flows need this,P04-DISCOVERY;scenario core/deferred,inventoried,
DISC-010,discovery,all,Manual/explicit format selection bypasses automatic,index.html radios;runDezoomer explicit modes,registry_for(name) case-insensitive,,,web-explicit-modes,explicit mode skips auto assert,dezoomify-core,04,preserve,User override must keep working,P04-REGISTRY;scenario web/explicit,inventoried,
